x,y,status,floor_factor,victim_present
61,51,clear,,0
8,45,clear,,0
0,41,clear,,0
60,55,clear,,0
93,3,clear,,0
30,63,clear,,0
51,6,clear,,0
43,2,clear,,0
87,45,clear,,0
1,5,clear,,0
53,52,clear,,0
4,47,clear,,0
45,48,clear,,0
56,57,clear,,0
3,51,clear,,0
77,0,clear,,0
14,60,clear,,0
88,46,clear,,0
80,5,clear,,0
46,49,clear,,0
5,11,clear,,0
57,58,clear,,0
49,54,clear,,0
90,55,clear,,0
15,61,clear,,0
7,57,clear,,0
81,6,clear,,0
73,2,clear,,0
39,9,clear,,0
31,5,clear,,0
91,56,clear,,1
23,1,clear,,0
83,52,clear,,0
75,48,clear,,0
0,54,clear,,0
41,55,clear,,0
33,51,clear,,0
44,60,clear,,0
32,6,clear,,0
24,2,clear,,0
10,67,clear,,0
84,53,wall,,0
2,63,clear,,0
35,11,clear,,0
87,58,clear,,0
1,18,clear,,0
34,52,clear,,0
45,61,clear,,0
86,62,clear,,0
37,57,clear,,0
58,0,clear,,0
3,64,clear,,0
89,67,clear,,0
22,77,clear,,0
69,9,clear,,0
14,73,clear,,0
61,5,clear,,0
27,12,clear,,0
19,8,clear,,0
79,59,clear,,0
71,55,clear,,0
90,68,clear,,0
63,51,clear,,0
82,64,clear,,0
29,58,clear,,0
62,6,clear,,0
54,2,clear,,0
40,67,clear,,0
20,9,clear,,0
6,74,clear,,0
12,5,clear,,0
83,65,clear,,0
75,61,clear,,0
41,68,clear,,0
88,0,clear,,0
33,64,clear,,0
93,78,clear,,0
44,73,clear,,0
85,74,clear,,0
46,3,clear,,0
2,76,clear,,0
49,8,clear,,0
15,15,clear,,0
26,24,clear,,0
86,75,clear,,1
59,58,clear,,0
92,6,clear,,0
78,71,clear,,0
89,80,wall,,0
50,9,clear,,0
91,10,clear,,0
36,74,clear,,0
42,5,clear,,0
55,87,clear,,1
28,70,clear,,0
8,12,clear,,0
27,25,clear,,0
0,8,clear,,0
79,72,clear,,0
11,17,clear,,0
82,77,clear,,0
84,7,clear,,0
29,71,clear,,0
40,80,clear,,0
81,81,clear,,0
87,12,wall,,0
72,32,clear,,0
45,15,clear,,0
56,24,clear,,0
22,31,clear,,0
88,13,clear,,0
14,27,clear,,0
74,78,clear,,0
85,87,clear,,0
46,16,clear,,0
32,81,clear,,0
24,77,clear,,0
57,25,clear,,0
43,90,clear,,0
49,21,clear,,0
35,86,clear,,0
68,34,clear,,0
15,28,clear,,0
7,24,clear,,0
26,37,clear,,0
18,33,clear,,0
78,84,clear,,1
17,74,wall,,0
91,23,clear,,0
36,87,clear,,0
9,70,clear,,1
77,88,clear,,0
28,83,clear,,1
0,21,clear,,0
41,22,clear,,0
60,35,clear,,0
11,30,clear,,0
52,31,wall,,0
10,34,clear,,0
21,80,clear,,0
87,25,clear,,0
73,90,clear,,0
20,84,clear,,0
31,93,clear,,0
64,41,clear,,0
74,91,clear,,0
66,87,clear,,0
24,90,clear,,0
90,35,clear,,0
48,38,clear,,0
40,34,clear,,0
6,41,clear,,0
92,81,wall,,0
58,88,clear,,0
61,93,clear,,0
41,35,clear,,0
60,48,clear,,0
33,31,clear,,0
52,44,clear,,0
93,45,clear,,0
25,27,clear,,0
44,40,clear,,0
2,43,clear,,0
54,90,clear,,0
86,42,clear,,0
78,38,clear,,0
70,34,clear,,0
3,44,clear,,0
89,47,clear,,0
47,50,clear,,0
88,88,clear,,1
46,91,clear,,0
79,39,wall,,0
71,35,clear,,0
82,44,clear,,0
29,38,clear,,0
48,51,clear,,0
21,34,clear,,0
40,47,clear,,0
42,93,clear,,0
74,45,clear,,0
93,58,clear,,0
66,41,clear,,0
85,54,clear,,0
2,56,clear,,0
43,57,clear,,0
35,53,clear,,0
68,1,clear,,0
1,60,clear,,0
67,42,clear,,0
26,4,clear,,0
18,0,clear,,0
59,38,clear,,0
78,51,clear,,0
70,47,clear,,0
89,60,clear,,0
36,54,clear,,0
60,2,clear,,1
5,66,clear,,0
10,1,clear,,0
62,48,clear,,0
81,61,clear,,0
73,57,clear,,0
39,64,clear,,0
31,60,clear,,0
64,8,clear,,0
56,4,clear,,0
22,11,clear,,0
14,7,clear,,0
74,58,clear,,0
66,54,clear,,0
85,67,clear,,0
32,61,clear,,0
43,70,clear,,0
90,2,clear,,0
35,66,clear,,0
1,73,clear,,0
7,4,clear,,0
48,5,clear,,0
40,1,clear,,0
92,48,clear,,0
6,8,clear,,0
58,55,clear,,0
91,3,clear,,0
9,50,clear,,0
77,68,clear,,0
28,63,clear,,0
61,60,clear,,0
80,73,clear,,0
41,2,clear,,0
27,67,wall,,0
93,12,clear,,0
44,7,clear,,0
30,72,clear,,0
10,14,clear,,0
2,10,clear,,0
81,74,clear,,0
54,57,clear,,0
39,77,clear,,0
12,60,clear,,0
86,9,clear,,0
31,73,clear,,0
4,56,clear,,0
37,4,wall,,0
78,5,clear,,0
70,1,clear,,0
3,11,clear,,0
89,14,clear,,0
36,8,clear,,0
55,21,clear,,1
88,55,clear,,0
47,17,clear,,0
13,61,clear,,0
79,6,clear,,0
5,20,clear,,0
71,2,clear,,0
16,66,clear,,0
90,15,clear,,0
76,80,clear,,0
68,76,clear,,0
29,5,clear,,0
48,18,clear,,0
21,1,clear,,0
40,14,clear,,0
26,79,clear,,0
6,21,clear,,1
92,61,clear,,0
77,81,clear,,0
69,77,clear,,0
42,60,clear,,0
80,86,clear,,0
8,67,clear,,0
27,80,clear,,0
0,63,clear,,0
33,11,clear,,0
19,76,clear,,0
25,7,clear,,0
66,8,clear,,0
11,72,clear,,0
93,25,clear,,0
30,85,clear,,0
85,21,wall,,0
51,28,clear,,0
2,23,clear,,0
84,62,clear,,0
43,24,clear,,0
1,27,wall,,0
20,77,clear,,0
87,67,clear,,0
67,9,clear,,0
12,73,clear,,0
86,22,clear,,0
59,5,clear,,0
4,69,clear,,0
72,87,clear,,0
23,82,clear,,0
89,27,clear,,1
17,8,clear,,0
36,21,clear,,0
9,4,clear,,0
55,34,clear,,0
88,68,clear,,0
46,71,clear,,0
38,67,clear,,0
76,93,clear,,0
68,89,clear,,0
29,18,wall,,0
7,79,clear,,0
26,92,clear,,0
31,27,clear,,0
91,78,clear,,0
42,73,clear,,0
83,74,clear,,0
8,80,clear,,0
0,76,clear,,0
60,90,clear,,0
52,86,clear,,0
13,15,clear,,0
85,34,wall,,0
51,41,clear,,0
24,24,clear,,0
43,37,clear,,0
84,75,clear,,0
35,33,clear,,0
1,40,clear,,0
87,80,clear,,0
34,74,clear,,0
53,87,clear,,0
92,15,clear,,0
37,79,clear,,0
56,92,clear,,0
77,35,clear,,0
9,17,clear,,0
69,31,clear,,0
27,34,clear,,0
38,80,clear,,0
79,81,wall,,0
30,39,wall,,0
49,89,clear,,0
90,90,clear,,0
82,86,clear,,0
48,93,clear,,0
54,24,clear,,0
73,37,clear,,0
20,31,clear,,0
12,27,clear,,0
4,23,clear,,0
23,36,clear,,0
83,87,clear,,0
75,83,clear,,0
41,90,clear,,0
88,22,wall,,0
33,86,clear,,0
25,82,clear,,0
13,28,clear,,0
24,37,clear,,0
65,38,wall,,0
16,33,clear,,0
57,34,clear,,0
76,47,clear,,0
68,43,clear,,0
34,87,clear,,0
92,28,clear,,1
37,92,clear,,0
58,35,clear,,0
77,48,clear,,0
50,31,clear,,0
69,44,clear,,0
61,40,clear,,0
80,53,clear,,0
8,34,clear,,0
11,39,wall,,0
71,90,clear,,0
29,93,clear,,0
87,34,clear,,0
72,54,clear,,0
64,50,clear,,0
56,46,clear,,0
