x,y,status,visited,last_seen_step,floor_factor,victim_present,victim_id,vitals_read,vitals_raw,g_cost,parent_x,parent_y,neighbors_clear,tri_color
75,6,clear,1,932,,0,,0,[],,,,[],
33,9,clear,0,1013,,0,,0,[],,,,[],
74,10,wall,0,1449,,0,,0,[],,,,[],
19,74,wall,0,1503,,0,,0,[],,,,[],
93,23,clear,1,693,,0,,0,[],,,,[],
10,25,clear,0,1333,,0,,0,[],,,,[],
51,26,clear,1,200,,0,,0,[],,,,[],
67,7,clear,1,991,,0,,0,[],,,,[],
12,71,clear,1,575,,0,,0,[],,,,[],
86,20,clear,1,995,,0,,0,[],,,,[],
31,84,clear,1,1025,,0,,0,[],,,,[],
89,25,clear,1,680,,0,,0,[],,,,[],
47,28,clear,0,197,,0,,0,[],,,,[],
88,66,clear,1,743,,0,,0,[],,,,[],
63,9,clear,0,655,,0,,0,[],,,,[],
68,87,clear,1,1183,,0,,0,[],,,,[],
21,12,clear,0,1060,,0,,0,[],,,,[],
7,77,clear,1,889,,0,,0,[],,,,[],
26,90,clear,1,995,,0,,0,[],,,,[],
42,71,clear,1,157,,0,,0,[],,,,[],
0,74,clear,1,866,,1,104,1,"[105.0, 40.0, 130.0, 42.0, 79.0, 78.0, 34.196933069273655, 0.0, 3.0, 1.0, 3.0, 11.0, 2.0]",,,,[],black
93,36,clear,1,911,,0,,0,[],,,,[],
13,13,clear,1,1254,,0,,0,[],,,,[],
32,26,clear,0,1481,,0,,0,[],,,,[],
51,39,clear,0,168,,0,,0,[],,,,[],
35,31,clear,1,1495,,0,,0,[],,,,[],
34,72,clear,1,429,,0,,0,[],,,,[],
53,85,clear,0,1123,,0,,0,[],,,,[],
37,77,clear,0,356,,0,,0,[],,,,[],
56,90,clear,1,1136,,0,,0,[],,,,[],
9,15,wall,0,1497,,0,,0,[],,,,[],
28,28,clear,1,1476,,0,,0,[],,,,[],
69,29,clear,0,1500,,0,,0,[],,,,[],
5,44,clear,0,768,,0,,0,[],,,,[],
49,87,clear,1,1118,,0,,0,[],,,,[],
90,88,clear,1,532,,0,,0,[],,,,[],
20,29,clear,0,1393,,0,,0,[],,,,[],
39,42,clear,0,29,,0,,0,[],,,,[],
23,34,clear,1,1401,,0,,0,[],,,,[],
83,85,clear,1,552,,0,,0,[],,,,[],
41,88,clear,0,1064,,0,,0,[],,,,[],
44,93,clear,0,1052,,0,,0,[],,,,[],
16,31,clear,0,1367,,0,,0,[],,,,[],
76,45,clear,1,624.6666666666666,,0,,0,[],,,,[],
34,85,clear,0,1026,,0,,0,[],,,,[],
92,26,clear,1,689,,0,,0,[],,,,[],
37,90,clear,0,1036,,0,,0,[],,,,[],
50,29,clear,1,192,,0,,0,[],,,,[],
69,42,wall,0,1449,,0,,0,[],,,,[],
71,88,clear,1,1197,,0,,0,[],,,,[],
29,91,clear,0,977,,0,,0,[],,,,[],
62,39,clear,1,189,,0,,0,[],,,,[],
25,93,clear,0,987,,0,,0,[],,,,[],
76,58,clear,0,679,,0,,0,[],,,,[],
59,91,clear,0,1140,,0,,0,[],,,,[],
92,39,clear,1,913,,0,,0,[],,,,[],
50,42,clear,1,162,,0,,0,[],,,,[],
91,43,clear,1,596,,0,,0,[],,,,[],
8,45,clear,1,744,,0,,0,[],,,,[],
30,63,clear,1,254,,0,,0,[],,,,[],
43,2,clear,1,1386,,0,,0,[],,,,[],
87,45,clear,0,589.5,,0,,0,[],,,,[],
1,5,clear,1,1181,,0,,0,[],,,,[],
4,47,clear,1,797,,0,,0,[],,,,[],
45,48,clear,1,43.666666666666664,,0,,0,[],,,,[],
3,51,clear,1,805,,0,,0,[],,,,[],
77,0,clear,1,929.5,,0,,0,[],,,,[],
80,5,clear,1,925,,0,,0,[],,,,[],
15,61,clear,1,645,,0,,0,[],,,,[],
73,2,clear,1,918.5,,0,,0,[],,,,[],
31,5,clear,1,1020,,0,,0,[],,,,[],
91,56,clear,1,1074.5,,1,405,1,"[406.0, 34.0, 113.0, 23.0, 109.0, 90.0, 37.52963397877923, 1.0, 1.0, 1.0, 0.0, 13.0, 1.0]",,,,[],black
75,48,clear,1,652.3333333333334,,0,,0,[],,,,[],
33,51,clear,0,69,,0,,0,[],,,,[],
24,2,clear,1,1097,,0,,0,[],,,,[],
10,67,clear,1,587,,0,,0,[],,,,[],
84,53,wall,0,1452,,0,,0,[],,,,[],
