agent,x,y,status,visited,last_seen_step,floor_factor,victim_present,victim_id,vitals_read,read_step,vitals_raw,g_cost,parent_x,parent_y,neighbors_clear
explorer_1,36,51,clear,1,78,,1,177,1,67,"[178.0, 46.0, 118.0, 43.0, 73.0, 83.0, 34.76219594431691, 0.0, 3.0, 1.0, 0.0, 9.0, 2.0]",,,,"[[35, 50], [35, 51], [35, 52], [36, 50], [36, 52], [37, 50], [37, 51], [37, 52]]"
explorer_1,36,50,clear,0,76,,0,,0,,[],,,,[]
explorer_1,35,52,clear,1,199,,0,,0,,[],,,,"[[34, 51], [34, 52], [34, 53], [35, 51], [35, 53], [36, 51], [36, 52], [36, 53]]"
explorer_1,35,51,clear,1,78,,0,,0,,[],,,,"[[34, 50], [34, 51], [34, 52], [35, 50], [35, 52], [36, 50], [36, 51], [36, 52]]"
explorer_1,35,50,clear,1,71,,0,,0,,[],,,,"[[34, 49], [34, 50], [34, 51], [35, 49], [35, 51], [36, 49], [36, 50], [36, 51]]"
explorer_1,34,52,clear,0,199,,0,,0,,[],,,,[]
explorer_1,34,51,clear,0,78,,0,,0,,[],,,,[]
explorer_1,34,50,clear,1,70,,0,,0,,[],,,,"[[33, 49], [33, 50], [33, 51], [34, 49], [34, 51], [35, 49], [35, 50], [35, 51]]"
explorer_1,34,49,clear,0,70,,0,,0,,[],,,,[]
explorer_1,35,49,clear,0,71,,0,,0,,[],,,,[]
explorer_1,33,51,clear,0,69,,0,,0,,[],,,,[]
explorer_1,33,50,clear,0,69,,0,,0,,[],,,,[]
explorer_1,33,49,clear,0,69,,0,,0,,[],,,,[]
explorer_1,36,49,clear,1,75,,0,,0,,[],,,,"[[35, 48], [35, 49], [35, 50], [36, 48], [36, 50], [37, 48], [37, 49], [37, 50]]"
explorer_1,36,48,clear,0,72,,0,,0,,[],,,,[]
explorer_1,37,48,clear,0,73,,0,,0,,[],,,,[]
explorer_1,37,49,clear,1,75,,0,,0,,[],,,,"[[36, 48], [36, 49], [36, 50], [37, 48], [37, 50], [38, 48], [38, 49], [38, 50]]"
explorer_1,35,48,clear,0,71,,0,,0,,[],,,,[]
explorer_1,34,53,clear,1,200,,0,,0,,[],,,,"[[33, 52], [33, 53], [33, 54], [34, 52], [34, 54], [35, 52], [35, 53], [35, 54]]"
explorer_1,34,54,clear,1,201,,0,,0,,[],,,,"[[33, 53], [33, 54], [33, 55], [34, 53], [34, 55], [35, 53], [35, 54], [35, 55]]"
explorer_1,34,55,clear,1,202,,0,,0,,[],,,,"[[33, 54], [33, 55], [33, 56], [34, 54], [34, 56], [35, 54], [35, 55], [35, 56]]"
explorer_1,35,56,clear,1,211,,0,,0,,[],,,,"[[34, 55], [34, 56], [34, 57], [35, 55], [35, 57], [36, 55], [36, 56], [36, 57]]"
explorer_1,34,56,clear,1,211,,0,,0,,[],,,,"[[33, 55], [33, 56], [33, 57], [34, 55], [34, 57], [35, 55], [35, 56], [35, 57]]"
explorer_1,33,56,clear,1,211,,0,,0,,[],,,,"[[32, 55], [32, 56], [32, 57], [33, 55], [33, 57], [34, 55], [34, 56], [34, 57]]"
explorer_1,33,55,clear,1,204,,0,,0,,[],,,,"[[32, 54], [32, 55], [32, 56], [33, 54], [33, 56], [34, 54], [34, 55], [34, 56]]"
explorer_1,33,54,clear,1,201,,0,,0,,[],,,,"[[32, 53], [32, 54], [32, 55], [33, 53], [33, 55], [34, 53], [34, 54], [34, 55]]"
explorer_1,35,57,clear,1,211,,0,,0,,[],,,,"[[34, 56], [34, 57], [34, 58], [35, 56], [35, 58], [36, 56], [36, 57], [36, 58]]"
explorer_1,34,57,clear,1,211,,0,,0,,[],,,,"[[33, 56], [33, 57], [33, 58], [34, 56], [34, 58], [35, 56], [35, 57], [35, 58]]"
explorer_1,33,57,clear,1,211,,0,,0,,[],,,,"[[32, 56], [32, 57], [32, 58], [33, 56], [33, 58], [34, 56], [34, 57], [34, 58]]"
explorer_1,36,58,clear,1,194,,0,,0,,[],,,,"[[35, 57], [35, 58], [35, 59], [36, 57], [36, 59], [37, 57], [37, 58], [37, 59]]"
